,success,times,rewards,steps
0,0,0.013544082641601562,22.0,24
1,0,0.026094913482666016,21.0,22
2,0,0.04627084732055664,36.0,35
3,0,0.058446407318115234,20.0,20
4,0,0.07463860511779785,29.0,25
5,0,0.08325552940368652,14.0,14
6,0,0.0890507698059082,9.0,18
7,0,0.10159587860107422,21.0,24
8,0,0.1109611988067627,17.0,15
9,0,0.1233367919921875,21.0,41
10,0,0.133040189743042,16.0,23
11,0,0.1610269546508789,51.0,19
12,0,0.17779874801635742,29.0,21
13,0,0.18585991859436035,14.0,26
14,0,0.2036447525024414,34.0,17
15,0,0.22038531303405762,31.0,10
16,0,0.22806286811828613,13.0,34
17,0,0.2452986240386963,30.0,24
18,0,0.255159854888916,18.0,14
19,0,0.2703843116760254,28.0,14
20,0,0.27927589416503906,16.0,30
21,0,0.28667306900024414,14.0,18
22,0,0.2951827049255371,14.0,15
23,0,0.304790735244751,17.0,9
24,0,0.3114485740661621,11.0,17
25,0,0.3265964984893799,28.0,14
26,0,0.3335306644439697,13.0,16
27,0,0.3385000228881836,9.0,14
28,0,0.34363222122192383,10.0,19
29,0,0.3512427806854248,13.0,12
30,0,0.3598968982696533,15.0,16
31,0,0.3715348243713379,21.0,11
32,0,0.39182019233703613,44.0,21
33,0,0.404252290725708,23.0,23
34,0,0.4148733615875244,20.0,13
35,0,0.42200684547424316,11.0,27
36,0,0.436800479888916,25.0,12
37,0,0.44500088691711426,14.0,16
38,0,0.45167088508605957,11.0,18
39,0,0.4746513366699219,43.0,18
40,0,0.48923420906066895,27.0,29
41,0,0.5044796466827393,28.0,15
42,0,0.5154592990875244,18.0,15
43,0,0.5252869129180908,16.0,25
44,0,0.5357956886291504,19.0,67
45,0,0.5449039936065674,15.0,14
46,0,0.5572860240936279,21.0,11
47,0,0.5622248649597168,8.0,15
48,0,0.5717577934265137,17.0,21
49,0,0.5837182998657227,22.0,24
50,0,0.5984373092651367,27.0,41
51,0,0.6094388961791992,20.0,21
52,0,0.6165037155151367,11.0,26
53,0,0.6313769817352295,26.0,21
54,0,0.6461453437805176,25.0,16
55,0,0.6542046070098877,14.0,19
56,0,0.6934859752655029,81.0,16
57,0,0.7057526111602783,20.0,16
58,0,0.7119908332824707,11.0,10
59,0,0.7194812297821045,13.0,22
60,0,0.7264077663421631,12.0,16
61,0,0.7321162223815918,9.0,31
62,0,0.7595946788787842,51.0,48
63,0,0.7706568241119385,18.0,11
64,0,0.7785305976867676,13.0,12
65,0,0.7879717350006104,17.0,12
66,0,0.8061096668243408,32.0,10
67,0,0.8125720024108887,11.0,36
68,0,0.8201937675476074,13.0,36
69,0,0.8463830947875977,48.0,16
70,0,0.8557076454162598,16.0,38
71,0,0.8659687042236328,18.0,25
72,0,0.8784346580505371,23.0,16
73,0,0.8907983303070068,21.0,21
74,0,0.9135074615478516,41.0,14
75,0,0.9239165782928467,17.0,12
76,0,0.9640545845031738,79.0,11
77,0,0.975050687789917,20.0,22
78,0,0.9840857982635498,15.0,38
79,0,0.9940698146820068,16.0,12
80,0,1.004284143447876,17.0,13
81,0,1.0145666599273682,18.0,18
82,0,1.040093183517456,47.0,10
83,0,1.0491352081298828,16.0,14
84,0,1.0597121715545654,19.0,92
85,0,1.0783133506774902,33.0,12
86,0,1.0854461193084717,11.0,17
87,0,1.0916788578033447,10.0,13
88,0,1.0991277694702148,13.0,15
89,0,1.1065082550048828,11.0,17
90,0,1.1139981746673584,13.0,11
91,0,1.1249749660491943,19.0,15
92,0,1.1497206687927246,48.0,25
93,0,1.1561617851257324,11.0,15
94,0,1.1692392826080322,22.0,15
95,0,1.1789615154266357,13.0,45
96,0,1.1875317096710205,15.0,13
97,0,1.2024474143981934,28.0,24
98,0,1.2174832820892334,26.0,16
99,0,1.2419719696044922,49.0,14
100,0,1.2611291408538818,36.0,30
101,0,1.2678086757659912,11.0,28
102,0,1.2765717506408691,14.0,10
103,0,1.2846941947937012,13.0,18
104,0,1.291478157043457,11.0,20
105,0,1.3025715351104736,20.0,49
106,0,1.312286376953125,17.0,24
107,0,1.3230295181274414,19.0,14
108,0,1.3318545818328857,14.0,102
109,0,1.3407676219940186,16.0,35
