,success,times,rewards,steps
0,0,0.035927772521972656,-111.88584999999999,200
1,0,0.07062697410583496,-116.73803,200
2,0,0.10496115684509277,-108.69303000000001,200
3,0,0.14015555381774902,-83.43654000000004,200
4,0,0.1751863956451416,-152.07096999999993,200
5,0,0.21035528182983398,-108.51994000000002,200
6,0,0.2452845573425293,-146.93846999999997,200
7,0,0.2801229953765869,-77.33382999999995,200
8,0,0.3146941661834717,-48.34499999999999,200
9,0,0.3500657081604004,-125.68606999999993,200
10,0,0.385176420211792,-22.630950000000027,200
11,0,0.41974759101867676,-136.71132000000006,200
12,0,0.45450568199157715,-71.50895999999996,200
13,0,0.49101948738098145,-155.25000999999997,200
14,0,0.5263800621032715,-101.05879000000003,200
15,0,0.563385009765625,-132.13324999999995,200
16,0,0.6001927852630615,-61.919460000000036,200
17,0,0.6345558166503906,-6.9278499999999905,200
18,0,0.6693201065063477,-139.50037000000003,200
19,0,0.7047107219696045,-167.85059999999996,200
20,0,0.7405965328216553,-87.11334000000001,200
21,0,0.7784900665283203,-108.30304999999997,200
22,0,0.8168432712554932,-76.10048,200
23,0,0.8527376651763916,-85.49204000000006,200
24,0,0.887049674987793,-79.87478,200
25,0,0.9218831062316895,-44.80843000000003,200
26,0,0.9575722217559814,-69.455,200
27,0,0.9924631118774414,-149.56636,200
28,0,1.0273215770721436,-129.7981800000001,200
29,0,1.0629322528839111,-20.94674000000001,200
30,0,1.1026239395141602,-132.31195,200
31,0,1.137143850326538,-147.6599499999999,200
32,0,1.1722290515899658,-146.65268999999992,200
33,0,1.2135655879974365,-132.21834000000004,200
34,0,1.250763177871704,-62.26512000000001,200
35,0,1.2879829406738281,-104.20576000000005,200
36,0,1.325495958328247,-163.83649000000014,200
37,0,1.3631722927093506,-127.85056000000003,200
38,0,1.3993825912475586,-130.56895999999998,200
39,0,1.434631586074829,-99.73626000000002,200
40,0,1.4704546928405762,-123.87586999999999,200
41,0,1.5057892799377441,-136.90834000000007,200
42,0,1.5407650470733643,-37.509679999999996,200
43,0,1.5768277645111084,-84.54231,200
44,0,1.614168643951416,-134.92061,200
45,0,1.6488888263702393,-83.03149,200
46,0,1.6837003231048584,-76.07651000000003,200
47,0,1.7194099426269531,-123.62479999999996,200
48,0,1.7598350048065186,-56.673079999999985,200
49,0,1.7960615158081055,-82.19690999999992,200
50,0,1.8318238258361816,-133.43937000000003,200
51,0,1.8662993907928467,-125.19985000000004,200
52,0,1.902184009552002,-105.89752,200
53,0,1.9368693828582764,-98.29079999999995,200
54,0,1.97198486328125,-54.36108,200
55,0,2.0067009925842285,-116.15722000000005,200
56,0,2.0412673950195312,-41.074649999999984,200
57,0,2.077113151550293,-51.44575999999996,200
58,0,2.2953341007232666,-80.94870000000003,200
59,0,2.330702543258667,-47.03918000000002,200
60,0,2.3653810024261475,-95.17474999999999,200
61,0,2.4014053344726562,-131.78881999999996,200
62,0,2.437068223953247,-75.65093999999999,200
63,0,2.4942171573638916,-96.26329000000007,200
64,0,2.5517947673797607,-90.86397999999997,200
65,0,2.6062350273132324,-132.58322999999993,200
66,0,2.6422388553619385,-143.79416000000006,200
67,0,2.6780269145965576,-63.315420000000024,200
68,0,2.712972402572632,23.59798999999999,200
69,0,2.750131607055664,-158.3095199999999,200
70,0,2.787478446960449,-99.39726000000007,200
71,0,2.824845314025879,-109.41227000000003,200
72,0,2.863525867462158,-110.40043000000001,200
73,0,2.900888204574585,-34.26751999999998,200
74,0,2.936262607574463,-82.67424000000001,200
75,0,2.9712276458740234,-88.30081000000001,200
76,0,3.006711483001709,-121.40587000000002,200
77,0,3.0423007011413574,-102.7950300000001,200
78,0,3.0776960849761963,-125.42456000000003,200
79,0,3.113898992538452,-73.97464999999997,200
80,0,3.148993492126465,-28.186739999999993,200
81,0,3.184178352355957,-84.30762,200
82,0,3.219454765319824,-54.86845,200
83,0,3.254563331604004,-66.67497999999999,200
84,0,3.290200710296631,-145.68660000000014,200
85,0,3.325310230255127,-70.90665999999996,200
86,0,3.360642194747925,-97.90993,200
87,0,3.3962109088897705,-129.00965000000005,200
88,0,3.4327876567840576,-54.25383000000001,200
89,0,3.4680802822113037,-96.64977999999996,200
90,0,3.503225088119507,-85.39448999999992,200
91,0,3.5395405292510986,-137.1058200000001,200
92,0,3.5750746726989746,-128.99738999999994,200
93,0,3.6116137504577637,-59.72836999999996,200
94,0,3.6462390422821045,-85.84846999999999,200
95,0,3.6826021671295166,-153.23890000000003,200
96,0,3.719259023666382,-66.90199000000003,200
97,0,3.7544634342193604,-27.618079999999946,200
98,0,3.7895114421844482,-30.592590000000005,200
99,0,3.8250632286071777,-129.7454,200
100,0,3.8660662174224854,-157.94108000000003,200
101,0,3.90297794342041,-135.24135999999996,200
102,0,3.9387168884277344,-112.79603,200
103,0,3.975663661956787,-146.17915999999994,200
104,0,4.010841608047485,-119.27716000000004,200
105,0,4.0462729930877686,-112.57387000000004,200
106,0,4.082789897918701,-111.45013999999998,200
107,0,4.119481086730957,-75.01690999999997,200
108,0,4.155236482620239,-161.51866000000007,200
109,0,4.1898181438446045,-125.67820000000012,200
110,0,4.224907159805298,-75.64426000000002,200
111,0,4.259512662887573,-119.85763000000003,200
112,0,4.293909072875977,-22.279249999999994,200
113,0,4.329810380935669,-123.30377000000003,200
114,0,4.365285634994507,-122.72120999999999,200
115,0,4.401327848434448,-126.75314000000006,200
116,0,4.4373767375946045,-75.42219999999999,200
117,0,4.474152326583862,-43.46725999999999,200
118,0,4.509498119354248,-113.13954000000004,200
119,0,4.545443058013916,-140.67363000000003,200
120,0,4.581403493881226,-51.74681000000002,200
121,0,4.621075391769409,-59.863599999999956,200
122,0,4.656171798706055,-138.38416999999998,200
123,0,4.691531419754028,-125.41991999999999,200
124,0,4.7264978885650635,-147.20213000000007,200
125,0,4.7613794803619385,-93.02731999999995,200
126,0,4.796749114990234,-129.54014000000006,200
127,0,4.8321497440338135,-155.72983,200
128,0,4.867142915725708,-120.44505999999994,200
129,0,4.902413368225098,-95.92764000000003,200
130,0,4.938899993896484,-43.82282,200
131,0,4.9740049839019775,-107.71712999999994,200
132,0,5.009669303894043,-96.93899000000005,200
133,0,5.044705152511597,-100.08319000000002,200
134,0,5.079730033874512,-40.86427,200
135,0,5.114728689193726,-96.59070000000003,200
136,0,5.149785041809082,-63.4665,200
137,0,5.184612274169922,28.207239999999977,200
138,0,5.220154285430908,-88.15129000000003,200
139,0,5.255347013473511,-116.19252000000003,200
140,0,5.291224718093872,-152.09892000000008,200
141,0,5.327028512954712,-2.99664999999998,200
142,0,5.36487889289856,-119.29097999999996,200
143,0,5.4026710987091064,-99.44069999999996,200
144,0,5.44374680519104,-138.43935000000005,200
145,0,5.480652332305908,-125.40062,200
146,0,5.516831398010254,-149.15378999999996,200
