,success,times,rewards,steps
0,0,13.374880075454712,-1276.6755999999996,200
1,0,13.474272727966309,0,1
2,0,13.569515228271484,0,1
3,0,13.659770727157593,0,1
4,0,13.74880862236023,0,1
5,0,13.849411964416504,0,1
6,0,13.945276498794556,0,1
7,0,14.041477918624878,0,1
8,0,14.132428169250488,0,1
9,0,14.231332778930664,0,1
10,0,14.321556568145752,0,1
11,0,14.41587781906128,0,1
12,0,14.506060123443604,0,1
13,0,14.60636591911316,0,1
14,0,14.701980113983154,0,1
15,0,14.793682336807251,0,1
16,0,14.870799541473389,0,1
17,0,14.967285871505737,0,1
18,0,15.062188625335693,0,1
19,0,15.154976844787598,0,1
20,0,15.246988296508789,0,1
21,0,15.350893497467041,0,1
22,0,15.446325778961182,0,1
23,0,15.538300275802612,0,1
24,0,15.632936954498291,0,1
25,0,15.728597402572632,0,1
26,0,15.821502923965454,0,1
27,0,15.912430047988892,0,1
28,0,16.006983995437622,0,1
29,0,16.103596210479736,0,1
30,0,16.19846272468567,0,1
31,0,16.29326343536377,0,1
32,0,16.38340425491333,0,1
33,0,16.48309087753296,0,1
34,0,16.573660135269165,0,1
35,0,16.67051076889038,0,1
36,0,16.760695695877075,0,1
37,0,16.8600070476532,0,1
38,0,16.95187735557556,0,1
39,0,17.04580545425415,0,1
40,0,17.139156818389893,0,1
41,0,17.23869490623474,0,1
42,0,17.333056926727295,0,1
43,0,17.424355030059814,0,1
44,0,17.519119262695312,0,1
45,0,17.61548352241516,0,1
46,0,17.710551261901855,0,1
47,0,17.805489540100098,0,1
48,0,17.899763584136963,0,1
49,0,17.99894952774048,0,1
50,0,18.090208768844604,0,1
51,0,18.185817003250122,0,1
52,0,18.274953603744507,0,1
53,0,18.37520122528076,0,1
54,0,18.473995208740234,0,1
55,0,18.56545352935791,0,1
56,0,18.655380725860596,0,1
57,0,18.754692316055298,0,1
58,0,18.849929571151733,0,1
59,0,18.948602199554443,0,1
60,0,19.046264171600342,0,1
61,0,19.147303581237793,0,1
62,0,19.243818998336792,0,1
63,0,19.339311361312866,0,1
64,0,19.43037509918213,0,1
65,0,19.52991008758545,0,1
66,0,19.623194932937622,0,1
67,0,19.7175772190094,0,1
68,0,19.808209896087646,0,1
69,0,19.907795667648315,0,1
70,0,20.006643056869507,0,1
71,0,20.102158546447754,0,1
72,0,20.196250677108765,0,1
73,0,20.29654026031494,0,1
74,0,20.391629219055176,0,1
75,0,20.48651957511902,0,1
76,0,20.580101013183594,0,1
77,0,20.68426823616028,0,1
78,0,20.782583951950073,0,1
79,0,20.876244068145752,0,1
80,0,20.969630002975464,0,1
81,0,21.069620847702026,0,1
82,0,21.164064645767212,0,1
83,0,21.260366678237915,0,1
84,0,21.35467767715454,0,1
85,0,21.456666707992554,0,1
86,0,21.552950382232666,0,1
87,0,21.64845371246338,0,1
88,0,21.743119716644287,0,1
89,0,21.843841791152954,0,1
90,0,21.93945813179016,0,1
91,0,22.03579044342041,0,1
92,0,22.129918098449707,0,1
93,0,22.238014936447144,0,1
94,0,22.33310627937317,0,1
95,0,22.42857813835144,0,1
96,0,22.522788763046265,0,1
97,0,22.623186111450195,0,1
98,0,22.71861481666565,0,1
99,0,22.813004970550537,0,1
100,0,22.918187618255615,0,1
101,0,23.02196717262268,0,1
102,0,23.121368169784546,0,1
103,0,23.21995520591736,0,1
104,0,23.31098508834839,0,1
105,0,23.411835193634033,0,1
106,0,23.5197274684906,0,1
107,0,23.634202003479004,0,1
108,0,23.725500345230103,0,1
109,0,23.829264640808105,0,1
110,0,23.937708854675293,0,1
111,0,24.03985285758972,0,1
112,0,24.162618160247803,0,1
113,0,24.29331398010254,0,1
114,0,24.395385265350342,0,1
115,0,24.484135627746582,0,1
116,0,24.574872970581055,0,1
117,0,24.681478261947632,0,1
118,0,24.772225379943848,0,1
119,0,24.86800479888916,0,1
120,0,24.96186399459839,0,1
121,0,25.0605366230011,0,1
122,0,25.160534381866455,0,1
123,0,25.252906560897827,0,1
124,0,25.34785008430481,0,1
125,0,25.450138330459595,0,1
126,0,25.542101621627808,0,1
127,0,25.633645057678223,0,1
128,0,25.724043369293213,0,1
129,0,25.821312427520752,0,1
130,0,25.930891513824463,0,1
131,0,26.023361444473267,0,1
132,0,26.117385149002075,0,1
133,0,26.217127561569214,0,1
134,0,26.313855409622192,0,1
135,0,26.409120082855225,0,1
136,0,26.503214359283447,0,1
137,0,26.603233814239502,0,1
138,0,26.697109699249268,0,1
139,0,26.792678833007812,0,1
140,0,26.887223958969116,0,1
141,0,26.98702907562256,0,1
142,0,27.078625202178955,0,1
143,0,27.17444157600403,0,1
144,0,27.27020239830017,0,1
145,0,27.37606906890869,0,1
146,0,27.472851037979126,0,1
147,0,27.569799661636353,0,1
148,0,27.66143774986267,0,1
149,0,27.761077880859375,0,1
150,0,27.85628056526184,0,1
151,0,27.953253984451294,0,1
152,0,28.03982162475586,0,1
153,0,28.140373706817627,0,1
154,0,28.23803734779358,0,1
155,0,28.333260536193848,0,1
156,0,28.427510499954224,0,1
157,0,28.528234481811523,0,1
158,0,28.62345314025879,0,1
159,0,28.718820571899414,0,1
160,0,28.812417030334473,0,1
161,0,28.913133144378662,0,1
162,0,29.008524656295776,0,1
163,0,29.10361623764038,0,1
164,0,29.193389892578125,0,1
165,0,29.29884362220764,0,1
166,0,29.390676259994507,0,1
167,0,29.485987663269043,0,1
168,0,29.579646587371826,0,1
169,0,29.681105613708496,0,1
170,0,29.77725386619568,0,1
171,0,29.873449563980103,0,1
172,0,29.969411611557007,0,1
173,0,30.068944692611694,0,1
174,0,30.16488003730774,0,1
175,0,30.25258469581604,0,1
176,0,30.339558839797974,0,1
177,0,30.440325260162354,0,1
178,0,30.535330533981323,0,1
179,0,30.63011884689331,0,1
180,0,30.724853515625,0,1
181,0,30.82508111000061,0,1
182,0,30.92085361480713,0,1
183,0,31.016249656677246,0,1
184,0,31.11015295982361,0,1
185,0,31.206679344177246,0,1
186,0,31.302717208862305,0,1
187,0,31.398569583892822,0,1
188,0,31.46428894996643,0,1
189,0,31.564541339874268,0,1
190,0,31.65904927253723,0,1
191,0,31.753597497940063,0,1
192,0,31.84355139732361,0,1
193,0,31.945134162902832,0,1
194,0,32.03637886047363,0,1
195,0,32.12736368179321,0,1
196,0,32.22117042541504,0,1
197,0,32.32117033004761,0,1
198,0,32.416383028030396,0,1
199,0,32.51244902610779,0,1
200,0,32.60688400268555,0,1
201,0,32.719287395477295,0,1
202,0,32.816733837127686,0,1
203,0,32.9164822101593,0,1
204,0,33.0067720413208,0,1
205,0,33.108168840408325,0,1
206,0,33.203991174697876,0,1
207,0,33.29761457443237,0,1
208,0,33.397223234176636,0,1
209,0,33.49995732307434,0,1
210,0,33.591001749038696,0,1
211,0,33.68712520599365,0,1
212,0,33.781246185302734,0,1
213,0,33.88872718811035,0,1
214,0,33.982168674468994,0,1
215,0,34.078758001327515,0,1
216,0,34.173036336898804,0,1
217,0,34.27376437187195,0,1
218,0,34.365577936172485,0,1
219,0,34.45679235458374,0,1
220,0,34.550601959228516,0,1
221,0,34.650339126586914,0,1
222,0,34.71185660362244,0,1
223,0,34.80724024772644,0,1
224,0,34.897241830825806,0,1
225,0,34.97671461105347,0,1
226,0,35.07190012931824,0,1
227,0,35.16747689247131,0,1
228,0,35.26201772689819,0,1
229,0,35.365532875061035,0,1
230,0,35.45263600349426,0,1
231,0,35.55253291130066,0,1
232,0,35.64641737937927,0,1
233,0,35.745267391204834,0,1
234,0,35.83928847312927,0,1
235,0,35.93118619918823,0,1
236,0,36.0176203250885,0,1
237,0,36.10991024971008,0,1
238,0,36.202698945999146,0,1
239,0,36.29807090759277,0,1
240,0,36.388132095336914,0,1
241,0,36.488126039505005,0,1
242,0,36.580477714538574,0,1
243,0,36.67638063430786,0,1
244,0,36.77043008804321,0,1
245,0,36.85576796531677,0,1
246,0,36.94375133514404,0,1
247,0,37.03582429885864,0,1
248,0,37.131303548812866,0,1
249,0,37.23170614242554,0,1
250,0,37.32607841491699,0,1
251,0,37.421470642089844,0,1
252,0,37.51533102989197,0,1
253,0,37.61742305755615,0,1
254,0,37.70849299430847,0,1
255,0,37.80003905296326,0,1
256,0,37.89002752304077,0,1
257,0,37.99111247062683,0,1
258,0,38.08697462081909,0,1
259,0,38.184975385665894,0,1
260,0,38.27476954460144,0,1
261,0,38.370498180389404,0,1
262,0,38.4666223526001,0,1
263,0,38.55627107620239,0,1
264,0,38.64557147026062,0,1
265,0,38.74532699584961,0,1
266,0,38.839674949645996,0,1
267,0,38.93547511100769,0,1
268,0,39.021302938461304,0,1
269,0,39.12045431137085,0,1
270,0,39.21098303794861,0,1
271,0,39.301634788513184,0,1
272,0,39.3950674533844,0,1
273,0,39.49490737915039,0,1
274,0,39.58204483985901,0,1
275,0,39.67668056488037,0,1
276,0,39.767943382263184,0,1
277,0,39.86885929107666,0,1
278,0,39.96394348144531,0,1
279,0,40.05851149559021,0,1
280,0,40.14808201789856,0,1
281,0,40.25475287437439,0,1
282,0,40.35035562515259,0,1
283,0,40.44516921043396,0,1
284,0,40.53840208053589,0,1
285,0,40.633442878723145,0,1
286,0,40.725106716156006,0,1
287,0,40.81147599220276,0,1
288,0,40.900670766830444,0,1
289,0,40.99635696411133,0,1
290,0,41.0913507938385,0,1
291,0,41.187957763671875,0,1
292,0,41.28136420249939,0,1
293,0,41.38087797164917,0,1
294,0,41.475053548812866,0,1
295,0,41.565953731536865,0,1
296,0,41.6563241481781,0,1
297,0,41.755924701690674,0,1
298,0,41.85140037536621,0,1
299,0,41.945871353149414,0,1
300,0,42.03940987586975,0,1
301,0,42.134479999542236,0,1
302,0,42.229982137680054,0,1
303,0,42.32098150253296,0,1
304,0,42.41560626029968,0,1
305,0,42.51244044303894,0,1
306,0,42.603334188461304,0,1
307,0,42.69842171669006,0,1
308,0,42.79237389564514,0,1
309,0,42.89309883117676,0,1
310,0,42.98876595497131,0,1
311,0,43.08488607406616,0,1
312,0,43.179304122924805,0,1
313,0,43.280832052230835,0,1
314,0,43.376091718673706,0,1
315,0,43.47200655937195,0,1
316,0,43.5668842792511,0,1
317,0,43.66357231140137,0,1
318,0,43.75866913795471,0,1
319,0,43.8583300113678,0,1
320,0,43.95207452774048,0,1
321,0,44.052942514419556,0,1
322,0,44.14471888542175,0,1
323,0,44.235798597335815,0,1
324,0,44.330015659332275,0,1
325,0,44.43737077713013,0,1
326,0,44.533124685287476,0,1
327,0,44.628050088882446,0,1
328,0,44.72286105155945,0,1
329,0,44.82669448852539,0,1
330,0,44.925894021987915,0,1
331,0,45.021761417388916,0,1
332,0,45.1150643825531,0,1
333,0,45.2105872631073,0,1
334,0,45.297744035720825,0,1
335,0,45.38941192626953,0,1
336,0,45.483638763427734,0,1
337,0,45.58322501182556,0,1
338,0,45.67565655708313,0,1
339,0,45.771392583847046,0,1
340,0,45.865710735321045,0,1
341,0,45.96641516685486,0,1
342,0,46.05465006828308,0,1
343,0,46.15011739730835,0,1
344,0,46.24013686180115,0,1
345,0,46.34031891822815,0,1
346,0,46.43600392341614,0,1
347,0,46.52996873855591,0,1
348,0,46.62028217315674,0,1
349,0,46.720216512680054,0,1
350,0,46.81480693817139,0,1
351,0,46.90559267997742,0,1
352,0,46.9990017414093,0,1
353,0,47.095561504364014,0,1
354,0,47.19062113761902,0,1
355,0,47.28510022163391,0,1
356,0,47.37809681892395,0,1
357,0,47.469101428985596,0,1
358,0,47.56108999252319,0,1
359,0,47.656092405319214,0,1
360,0,47.74924039840698,0,1
361,0,47.84894943237305,0,1
362,0,47.943076372146606,0,1
363,0,48.0373420715332,0,1
364,0,48.13151478767395,0,1
365,0,48.23123383522034,0,1
366,0,48.32218670845032,0,1
367,0,48.41117238998413,0,1
368,0,48.50064039230347,0,1
369,0,48.59614276885986,0,1
370,0,48.6866672039032,0,1
371,0,48.78096532821655,0,1
372,0,48.86993455886841,0,1
373,0,48.95944619178772,0,1
374,0,49.05017399787903,0,1
375,0,49.140913009643555,0,1
376,0,49.233938455581665,0,1
377,0,49.33329463005066,0,1
378,0,49.42415714263916,0,1
379,0,49.515727519989014,0,1
380,0,49.609326124191284,0,1
381,0,49.71140265464783,0,1
382,0,49.80693817138672,0,1
383,0,49.89787220954895,0,1
384,0,49.987284898757935,0,1
385,0,50.08768105506897,0,1
