,episode,reward,epochs,epsilon,success
0,0,-984.0,17,0.995,False
1,1,-965.0,36,0.990025,False
2,2,-976.0,25,0.985074875,False
3,3,-965.0,36,0.9801495006250001,False
4,4,-975.0,26,0.9752487531218751,False
5,5,-993.0,8,0.9703725093562657,False
6,6,-979.0,22,0.9655206468094844,False
7,7,-991.0,10,0.960693043575437,False
8,8,-972.0,29,0.9558895783575597,False
9,9,-980.0,21,0.9511101304657719,False
10,10,-977.0,24,0.946354579813443,False
11,11,-969.0,32,0.9416228069143757,False
12,12,-986.0,15,0.9369146928798039,False
13,13,-987.0,14,0.9322301194154049,False
14,14,-983.0,18,0.9275689688183278,False
15,15,-975.0,26,0.9229311239742362,False
16,16,-968.0,33,0.918316468354365,False
17,17,-982.0,19,0.9137248860125932,False
18,18,-958.0,43,0.9091562615825302,False
19,19,-985.0,16,0.9046104802746175,False
20,20,-990.0,11,0.9000874278732445,False
21,21,-988.0,13,0.8955869907338783,False
22,22,-975.0,26,0.8911090557802088,False
23,23,-978.0,23,0.8866535105013078,False
24,24,-984.0,17,0.8822202429488013,False
25,25,-986.0,15,0.8778091417340573,False
26,26,-987.0,14,0.8734200960253871,False
27,27,-967.0,34,0.8690529955452602,False
28,28,-952.0,49,0.8647077305675338,False
29,29,-979.0,22,0.8603841919146962,False
30,30,-948.0,53,0.8560822709551227,False
31,31,-970.0,31,0.851801859600347,False
32,32,-989.0,12,0.8475428503023453,False
33,33,-986.0,15,0.8433051360508336,False
34,34,-976.0,25,0.8390886103705794,False
35,35,-985.0,16,0.8348931673187264,False
36,36,-982.0,19,0.8307187014821328,False
37,37,-971.0,30,0.8265651079747222,False
38,38,-977.0,24,0.8224322824348486,False
39,39,-988.0,13,0.8183201210226743,False
40,40,-988.0,13,0.8142285204175609,False
41,41,-990.0,11,0.810157377815473,False
42,42,-983.0,18,0.8061065909263957,False
43,43,-987.0,14,0.8020760579717637,False
44,44,-959.0,42,0.798065677681905,False
45,45,-977.0,24,0.7940753492934954,False
46,46,-989.0,12,0.7901049725470279,False
47,47,-980.0,21,0.7861544476842928,False
48,48,-956.0,45,0.7822236754458713,False
49,49,-966.0,35,0.778312557068642,False
50,50,-990.0,11,0.7744209942832988,False
51,51,-960.0,41,0.7705488893118823,False
52,52,-961.0,40,0.7666961448653229,False
53,53,-986.0,15,0.7628626641409962,False
